date,location,value
1991-06,National Museum Of Singapore,20.5
1991-06,Singapore Art Museum,na
1991-06,Singapore Philatelic Museum,na
1991-06,The Peranakan Museum,na
1991-06,Science Centre Singapore,44.8
1991-06,Jurong Birdpark,na
1991-06,Night Safari,na
1991-06,River Safari,na
1991-06,Singapore Zoological Gardens,116
1991-06,Chinese/japanese Gardens,16.4
1991-07,Asian Civilisations Museum,na
1991-07,National Museum Of Singapore,17.1
1991-07,Singapore Art Museum,na
1991-07,Singapore Philatelic Museum,na
1991-07,The Peranakan Museum,na
1991-07,Science Centre Singapore,37.8
1991-07,Jurong Birdpark,na
1991-07,Night Safari,na
1991-07,River Safari,na
1991-07,Singapore Zoological Gardens,73.8
1991-07,Chinese/japanese Gardens,31.5
1991-08,Asian Civilisations Museum,na
1991-08,National Museum Of Singapore,20.8
1991-08,Singapore Art Museum,na
1991-08,Singapore Philatelic Museum,na
1991-08,The Peranakan Museum,na
1991-08,Science Centre Singapore,32.5
1991-08,Jurong Birdpark,na
1991-08,Night Safari,na
1991-08,River Safari,na
1991-08,Singapore Zoological Gardens,99.6
1991-08,Chinese/japanese Gardens,19.5
1991-09,Asian Civilisations Museum,na
1991-09,National Museum Of Singapore,19.2
1991-09,Singapore Art Museum,na
1991-09,Singapore Philatelic Museum,na
1991-09,The Peranakan Museum,na
1991-09,Science Centre Singapore,41
1991-09,Jurong Birdpark,na
1991-09,Night Safari,na
1991-09,River Safari,na
1991-09,Singapore Zoological Gardens,110.7
1991-09,Chinese/japanese Gardens,164.8
1991-10,Asian Civilisations Museum,na
1991-10,National Museum Of Singapore,20
1991-10,Singapore Art Museum,na
1991-10,Singapore Philatelic Museum,na
1991-10,The Peranakan Museum,na
1991-10,Science Centre Singapore,41.2
1991-10,Jurong Birdpark,na
1991-10,Night Safari,na
1991-10,River Safari,na
1991-10,Singapore Zoological Gardens,69.8
1991-10,Chinese/japanese Gardens,15.1
1991-11,Asian Civilisations Museum,na
1991-11,National Museum Of Singapore,34.2
1991-11,Singapore Art Museum,na
1991-11,Singapore Philatelic Museum,na
1991-11,The Peranakan Museum,na
1991-11,Science Centre Singapore,90.1
1991-11,Jurong Birdpark,na
1991-11,Night Safari,na
1991-11,River Safari,na
1991-11,Singapore Zoological Gardens,148.6
1991-11,Chinese/japanese Gardens,34.3
1991-12,Asian Civilisations Museum,na
1991-12,National Museum Of Singapore,21
1991-12,Singapore Art Museum,na
1991-12,Singapore Philatelic Museum,na
1991-12,The Peranakan Museum,na
1991-12,Science Centre Singapore,39.7
1991-12,Jurong Birdpark,na
1991-12,Night Safari,na
1991-12,River Safari,na
1991-12,Singapore Zoological Gardens,118
1991-12,Chinese/japanese Gardens,24.7
1992-01,Asian Civilisations Museum,na
1992-01,National Museum Of Singapore,15.5
1992-01,Singapore Art Museum,na
1992-01,Singapore Philatelic Museum,na
1992-01,The Peranakan Museum,na
1992-01,Science Centre Singapore,20.6
1992-01,Jurong Birdpark,na
1992-01,Night Safari,na
1992-01,River Safari,na
1992-01,Singapore Zoological Gardens,69.5
1992-01,Chinese/japanese Gardens,10.7
1992-02,Asian Civilisations Museum,na
1992-02,National Museum Of Singapore,23.9
1992-02,Singapore Art Museum,na
1992-02,Singapore Philatelic Museum,na
1992-02,The Peranakan Museum,na
1992-02,Science Centre Singapore,31.8
1992-02,Jurong Birdpark,na
1992-02,Night Safari,na
1992-02,River Safari,na
1992-02,Singapore Zoological Gardens,122.6
1992-02,Chinese/japanese Gardens,24.8
1992-03,Asian Civilisations Museum,na
1992-03,National Museum Of Singapore,24.8
1992-03,Singapore Art Museum,na
1992-03,Singapore Philatelic Museum,na
1992-03,The Peranakan Museum,na
1992-03,Science Centre Singapore,40.4
1992-03,Jurong Birdpark,na
1992-03,Night Safari,na
1992-03,River Safari,na
1992-03,Singapore Zoological Gardens,98
1992-03,Chinese/japanese Gardens,17.1
1992-04,Asian Civilisations Museum,na
1992-04,National Museum Of Singapore,21.9
1992-04,Singapore Art Museum,na
1992-04,Singapore Philatelic Museum,na
1992-04,The Peranakan Museum,na
1992-04,Science Centre Singapore,37.1
1992-04,Jurong Birdpark,na
1992-04,Night Safari,na
1992-04,River Safari,na
1992-04,Singapore Zoological Gardens,98.9
1992-04,Chinese/japanese Gardens,18.9
1992-05,Asian Civilisations Museum,na
1992-05,National Museum Of Singapore,29.8
1992-05,Singapore Art Museum,na
1992-05,Singapore Philatelic Museum,na
1992-05,The Peranakan Museum,na
1992-05,Science Centre Singapore,62.4
1992-05,Jurong Birdpark,na
1992-05,Night Safari,na
1992-05,River Safari,na
1992-05,Singapore Zoological Gardens,113.1
1992-05,Chinese/japanese Gardens,17.6
1992-06,Asian Civilisations Museum,na
1992-06,National Museum Of Singapore,19.5
1992-06,Singapore Art Museum,na
1992-06,Singapore Philatelic Museum,na
1992-06,The Peranakan Museum,na
1992-06,Science Centre Singapore,51.4
1992-06,Jurong Birdpark,na
1992-06,Night Safari,na
1992-06,River Safari,na
1992-06,Singapore Zoological Gardens,144.6
1992-06,Chinese/japanese Gardens,26
1992-07,Asian Civilisations Museum,na
1992-07,National Museum Of Singapore,17.6
1992-07,Singapore Art Museum,na
1992-07,Singapore Philatelic Museum,na
1992-07,The Peranakan Museum,na
1992-07,Science Centre Singapore,40
1992-07,Jurong Birdpark,na
1992-07,Night Safari,na
1992-07,River Safari,na
1992-07,Singapore Zoological Gardens,112.3
1992-07,Chinese/japanese Gardens,19
1992-08,Asian Civilisations Museum,na
1992-08,National Museum Of Singapore,21.6
1992-08,Singapore Art Museum,na
1992-08,Singapore Philatelic Museum,na
1992-08,The Peranakan Museum,na
1992-08,Science Centre Singapore,44.2
1992-08,Jurong Birdpark,na
1992-08,Night Safari,na
1992-08,River Safari,na
1992-08,Singapore Zoological Gardens,130.2
1992-08,Chinese/japanese Gardens,21
1992-09,Asian Civilisations Museum,na
1992-09,National Museum Of Singapore,19.3
1992-09,Singapore Art Museum,na
1992-09,Singapore Philatelic Museum,na
1992-09,The Peranakan Museum,na
1992-09,Science Centre Singapore,34.2
1992-09,Jurong Birdpark,na
1992-09,Night Safari,na
1992-09,River Safari,na
1992-09,Singapore Zoological Gardens,112.1
1992-09,Chinese/japanese Gardens,117.3
1992-10,Asian Civilisations Museum,na
1992-10,National Museum Of Singapore,12.3
1992-10,Singapore Art Museum,na
1992-10,Singapore Philatelic Museum,na
1992-10,The Peranakan Museum,na
1992-10,Science Centre Singapore,35.6
1992-10,Jurong Birdpark,na
1992-10,Night Safari,na
1992-10,River Safari,na
1992-10,Singapore Zoological Gardens,109.6
1992-10,Chinese/japanese Gardens,18.5
1992-11,Asian Civilisations Museum,na
1992-11,National Museum Of Singapore,21.7
1992-11,Singapore Art Museum,na
1992-11,Singapore Philatelic Museum,na
1992-11,The Peranakan Museum,na
1992-11,Science Centre Singapore,76.4
1992-11,Jurong Birdpark,na
1992-11,Night Safari,na
1992-11,River Safari,na
1992-11,Singapore Zoological Gardens,140.6
1992-11,Chinese/japanese Gardens,32.1
1992-12,Asian Civilisations Museum,na
1992-12,National Museum Of Singapore,9.9
1992-12,Singapore Art Museum,na
1992-12,Singapore Philatelic Museum,na
1992-12,The Peranakan Museum,na
1992-12,Science Centre Singapore,40.9
1992-12,Jurong Birdpark,na
1992-12,Night Safari,na
1992-12,River Safari,na
1992-12,Singapore Zoological Gardens,103.8
1992-12,Chinese/japanese Gardens,27.9
1993-01,Asian Civilisations Museum,na
1993-01,National Museum Of Singapore,15.2
1993-01,Singapore Art Museum,na
1993-01,Singapore Philatelic Museum,na
1993-01,The Peranakan Museum,na
1993-01,Science Centre Singapore,25.3
1993-01,Jurong Birdpark,na
1993-01,Night Safari,na
1993-01,River Safari,na
1993-01,Singapore Zoological Gardens,124.2
1993-01,Chinese/japanese Gardens,31.6
1993-02,Asian Civilisations Museum,na
1993-02,National Museum Of Singapore,18.9
1993-02,Singapore Art Museum,na
1993-02,Singapore Philatelic Museum,na
1993-02,The Peranakan Museum,na
1993-02,Science Centre Singapore,28.3
1993-02,Jurong Birdpark,na
1993-02,Night Safari,na
1993-02,River Safari,na
1993-02,Singapore Zoological Gardens,71.3
1993-02,Chinese/japanese Gardens,13.4
1993-03,Asian Civilisations Museum,na
1993-03,National Museum Of Singapore,26.7
1993-03,Singapore Art Museum,na
1993-03,Singapore Philatelic Museum,na
1993-03,The Peranakan Museum,na
1993-03,Science Centre Singapore,50.5
1993-03,Jurong Birdpark,na
1993-03,Night Safari,na
1993-03,River Safari,na
1993-03,Singapore Zoological Gardens,109.9
1993-03,Chinese/japanese Gardens,16.6
1993-04,Asian Civilisations Museum,na
1993-04,National Museum Of Singapore,21.4
1993-04,Singapore Art Museum,na
1993-04,Singapore Philatelic Museum,na
1993-04,The Peranakan Museum,na
1993-04,Science Centre Singapore,38.7
1993-04,Jurong Birdpark,na
1993-04,Night Safari,na
1993-04,River Safari,na
1993-04,Singapore Zoological Gardens,102
1993-04,Chinese/japanese Gardens,11.8
1993-05,Asian Civilisations Museum,na
1993-05,National Museum Of Singapore,22.1
1993-05,Singapore Art Museum,na
1993-05,Singapore Philatelic Museum,na
1993-05,The Peranakan Museum,na
1993-05,Science Centre Singapore,64.4
1993-05,Jurong Birdpark,na
1993-05,Night Safari,na
1993-05,River Safari,na
1993-05,Singapore Zoological Gardens,135.4
1993-05,Chinese/japanese Gardens,11.2
1993-06,Asian Civilisations Museum,na
