date,location,value
1996-02,Chinese/japanese Gardens,15.8
1996-03,Asian Civilisations Museum,na
1996-03,National Museum Of Singapore,22
1996-03,Singapore Art Museum,9
1996-03,Singapore Philatelic Museum,na
1996-03,The Peranakan Museum,na
1996-03,Science Centre Singapore,36.9
1996-03,Jurong Birdpark,na
1996-03,Night Safari,na
1996-03,River Safari,na
1996-03,Singapore Zoological Gardens,113.3
1996-03,Chinese/japanese Gardens,9
1996-04,Asian Civilisations Museum,na
1996-04,National Museum Of Singapore,15.4
1996-04,Singapore Art Museum,6
1996-04,Singapore Philatelic Museum,na
1996-04,The Peranakan Museum,na
1996-04,Science Centre Singapore,23.9
1996-04,Jurong Birdpark,na
1996-04,Night Safari,na
1996-04,River Safari,na
1996-04,Singapore Zoological Gardens,109.1
1996-04,Chinese/japanese Gardens,8.3
1996-05,Asian Civilisations Museum,na
1996-05,National Museum Of Singapore,21.2
1996-05,Singapore Art Museum,8.1
1996-05,Singapore Philatelic Museum,na
1996-05,The Peranakan Museum,na
1996-05,Science Centre Singapore,51.8
1996-05,Jurong Birdpark,na
1996-05,Night Safari,na
1996-05,River Safari,na
1996-05,Singapore Zoological Gardens,145.7
1996-05,Chinese/japanese Gardens,25.8
1996-06,Asian Civilisations Museum,na
1996-06,National Museum Of Singapore,18
1996-06,Singapore Art Museum,7.6
1996-06,Singapore Philatelic Museum,na
1996-06,The Peranakan Museum,na
1996-06,Science Centre Singapore,34.6
1996-06,Jurong Birdpark,na
1996-06,Night Safari,na
1996-06,River Safari,na
1996-06,Singapore Zoological Gardens,161.4
1996-06,Chinese/japanese Gardens,29.4
1996-07,Asian Civilisations Museum,na
1996-07,National Museum Of Singapore,12.7
1996-07,Singapore Art Museum,8.4
1996-07,Singapore Philatelic Museum,na
1996-07,The Peranakan Museum,na
1996-07,Science Centre Singapore,33.5
1996-07,Jurong Birdpark,na
1996-07,Night Safari,na
1996-07,River Safari,na
1996-07,Singapore Zoological Gardens,116.1
1996-07,Chinese/japanese Gardens,7.8
1996-08,Asian Civilisations Museum,na
1996-08,National Museum Of Singapore,17.5
1996-08,Singapore Art Museum,10
1996-08,Singapore Philatelic Museum,na
1996-08,The Peranakan Museum,na
1996-08,Science Centre Singapore,42.4
1996-08,Jurong Birdpark,na
1996-08,Night Safari,na
1996-08,River Safari,na
1996-08,Singapore Zoological Gardens,118.3
1996-08,Chinese/japanese Gardens,7.6
1996-09,Asian Civilisations Museum,na
1996-09,National Museum Of Singapore,13.9
1996-09,Singapore Art Museum,4.9
1996-09,Singapore Philatelic Museum,na
1996-09,The Peranakan Museum,na
1996-09,Science Centre Singapore,25.6
1996-09,Jurong Birdpark,na
1996-09,Night Safari,na
1996-09,River Safari,na
1996-09,Singapore Zoological Gardens,104.7
1996-09,Chinese/japanese Gardens,104.9
1996-10,Asian Civilisations Museum,na
1996-10,National Museum Of Singapore,22.7
1996-10,Singapore Art Museum,11.8
1996-10,Singapore Philatelic Museum,na
1996-10,The Peranakan Museum,na
1996-10,Science Centre Singapore,36.3
1996-10,Jurong Birdpark,na
1996-10,Night Safari,na
1996-10,River Safari,na
1996-10,Singapore Zoological Gardens,92
1996-10,Chinese/japanese Gardens,6.6
1996-11,Asian Civilisations Museum,na
1996-11,National Museum Of Singapore,36
1996-11,Singapore Art Museum,12
1996-11,Singapore Philatelic Museum,na
1996-11,The Peranakan Museum,na
1996-11,Science Centre Singapore,41.3
1996-11,Jurong Birdpark,na
1996-11,Night Safari,na
1996-11,River Safari,na
1996-11,Singapore Zoological Gardens,185.2
1996-11,Chinese/japanese Gardens,8.8
1996-12,Asian Civilisations Museum,na
1996-12,National Museum Of Singapore,18.1
1996-12,Singapore Art Museum,14.2
1996-12,Singapore Philatelic Museum,na
1996-12,The Peranakan Museum,na
1996-12,Science Centre Singapore,34.3
1996-12,Jurong Birdpark,na
1996-12,Night Safari,na
1996-12,River Safari,na
1996-12,Singapore Zoological Gardens,165.4
1996-12,Chinese/japanese Gardens,15.3
1997-01,Asian Civilisations Museum,na
1997-01,National Museum Of Singapore,17.1
1997-01,Singapore Art Museum,17.5
1997-01,Singapore Philatelic Museum,na
1997-01,The Peranakan Museum,na
1997-01,Science Centre Singapore,15.3
1997-01,Jurong Birdpark,na
1997-01,Night Safari,na
1997-01,River Safari,na
1997-01,Singapore Zoological Gardens,84.1
1997-01,Chinese/japanese Gardens,8.3
1997-02,Asian Civilisations Museum,na
1997-02,National Museum Of Singapore,18.2
1997-02,Singapore Art Museum,12.8
1997-02,Singapore Philatelic Museum,na
1997-02,The Peranakan Museum,na
1997-02,Science Centre Singapore,24.1
1997-02,Jurong Birdpark,na
1997-02,Night Safari,na
1997-02,River Safari,na
1997-02,Singapore Zoological Gardens,130.4
1997-02,Chinese/japanese Gardens,32.7
1997-03,Asian Civilisations Museum,na
1997-03,National Museum Of Singapore,25.4
1997-03,Singapore Art Museum,7.9
1997-03,Singapore Philatelic Museum,na
1997-03,The Peranakan Museum,na
1997-03,Science Centre Singapore,159.6
1997-03,Jurong Birdpark,na
1997-03,Night Safari,na
1997-03,River Safari,na
1997-03,Singapore Zoological Gardens,140.6
1997-03,Chinese/japanese Gardens,11.1
1997-04,Asian Civilisations Museum,3.6
1997-04,National Museum Of Singapore,23.4
1997-04,Singapore Art Museum,7.5
1997-04,Singapore Philatelic Museum,na
1997-04,The Peranakan Museum,na
1997-04,Science Centre Singapore,39.8
1997-04,Jurong Birdpark,na
1997-04,Night Safari,na
1997-04,River Safari,na
1997-04,Singapore Zoological Gardens,98.6
1997-04,Chinese/japanese Gardens,8.4
1997-05,Asian Civilisations Museum,9.2
1997-05,National Museum Of Singapore,22.3
1997-05,Singapore Art Museum,11.7
1997-05,Singapore Philatelic Museum,na
1997-05,The Peranakan Museum,na
1997-05,Science Centre Singapore,63
1997-05,Jurong Birdpark,na
1997-05,Night Safari,na
1997-05,River Safari,na
1997-05,Singapore Zoological Gardens,142.5
1997-05,Chinese/japanese Gardens,9.9
1997-06,Asian Civilisations Museum,9.1
1997-06,National Museum Of Singapore,23.8
1997-06,Singapore Art Museum,9.6
1997-06,Singapore Philatelic Museum,na
1997-06,The Peranakan Museum,na
1997-06,Science Centre Singapore,43.1
1997-06,Jurong Birdpark,na
1997-06,Night Safari,na
1997-06,River Safari,na
1997-06,Singapore Zoological Gardens,150.2
1997-06,Chinese/japanese Gardens,8.5
1997-07,Asian Civilisations Museum,3.1
1997-07,National Museum Of Singapore,20.9
1997-07,Singapore Art Museum,14.7
1997-07,Singapore Philatelic Museum,na
1997-07,The Peranakan Museum,na
1997-07,Science Centre Singapore,31.1
1997-07,Jurong Birdpark,na
1997-07,Night Safari,na
1997-07,River Safari,na
1997-07,Singapore Zoological Gardens,121.9
1997-07,Chinese/japanese Gardens,9.6
1997-08,Asian Civilisations Museum,6.7
1997-08,National Museum Of Singapore,32.1
1997-08,Singapore Art Museum,17.9
1997-08,Singapore Philatelic Museum,na
1997-08,The Peranakan Museum,na
1997-08,Science Centre Singapore,30.6
1997-08,Jurong Birdpark,na
1997-08,Night Safari,na
1997-08,River Safari,na
1997-08,Singapore Zoological Gardens,120
1997-08,Chinese/japanese Gardens,10.1
1997-09,Asian Civilisations Museum,4.1
1997-09,National Museum Of Singapore,17.6
1997-09,Singapore Art Museum,7
1997-09,Singapore Philatelic Museum,na
1997-09,The Peranakan Museum,na
1997-09,Science Centre Singapore,40.2
1997-09,Jurong Birdpark,na
1997-09,Night Safari,na
1997-09,River Safari,na
1997-09,Singapore Zoological Gardens,86.5
1997-09,Chinese/japanese Gardens,123.8
1997-10,Asian Civilisations Museum,4.5
1997-10,National Museum Of Singapore,20.4
1997-10,Singapore Art Museum,19.7
1997-10,Singapore Philatelic Museum,na
1997-10,The Peranakan Museum,na
1997-10,Science Centre Singapore,40.4
1997-10,Jurong Birdpark,na
1997-10,Night Safari,na
1997-10,River Safari,na
1997-10,Singapore Zoological Gardens,78.6
1997-10,Chinese/japanese Gardens,7.7
1997-11,Asian Civilisations Museum,5.4
1997-11,National Museum Of Singapore,27.7
1997-11,Singapore Art Museum,17.9
1997-11,Singapore Philatelic Museum,na
1997-11,The Peranakan Museum,na
1997-11,Science Centre Singapore,117.7
1997-11,Jurong Birdpark,na
1997-11,Night Safari,na
1997-11,River Safari,na
1997-11,Singapore Zoological Gardens,125.6
1997-11,Chinese/japanese Gardens,8.8
1997-12,Asian Civilisations Museum,2.1
1997-12,National Museum Of Singapore,13.7
1997-12,Singapore Art Museum,15.4
1997-12,Singapore Philatelic Museum,na
1997-12,The Peranakan Museum,na
1997-12,Science Centre Singapore,32.6
1997-12,Jurong Birdpark,na
1997-12,Night Safari,na
1997-12,River Safari,na
1997-12,Singapore Zoological Gardens,131.6
1997-12,Chinese/japanese Gardens,8.7
1998-01,Asian Civilisations Museum,4.2
1998-01,National Museum Of Singapore,14.5
1998-01,Singapore Art Museum,26.4
1998-01,Singapore Philatelic Museum,na
1998-01,The Peranakan Museum,na
1998-01,Science Centre Singapore,22.3
1998-01,Jurong Birdpark,na
1998-01,Night Safari,na
1998-01,River Safari,na
1998-01,Singapore Zoological Gardens,95.5
1998-01,Chinese/japanese Gardens,14.2
1998-02,Asian Civilisations Museum,4
1998-02,National Museum Of Singapore,16.5
1998-02,Singapore Art Museum,9.7
1998-02,Singapore Philatelic Museum,na
1998-02,The Peranakan Museum,na
1998-02,Science Centre Singapore,34.8
1998-02,Jurong Birdpark,na
1998-02,Night Safari,na
1998-02,River Safari,na
1998-02,Singapore Zoological Gardens,79.1
1998-02,Chinese/japanese Gardens,8.8
1998-03,Asian Civilisations Museum,5.6
1998-03,National Museum Of Singapore,20
1998-03,Singapore Art Museum,6.7
1998-03,Singapore Philatelic Museum,na
1998-03,The Peranakan Museum,na
1998-03,Science Centre Singapore,40.8
1998-03,Jurong Birdpark,na
1998-03,Night Safari,na
1998-03,River Safari,na
1998-03,Singapore Zoological Gardens,106.3
1998-03,Chinese/japanese Gardens,7.8
1998-04,Asian Civilisations Museum,10
1998-04,National Museum Of Singapore,21.8
1998-04,Singapore Art Museum,7.6
1998-04,Singapore Philatelic Museum,na
1998-04,The Peranakan Museum,na
1998-04,Science Centre Singapore,43.6
1998-04,Jurong Birdpark,na
1998-04,Night Safari,na
1998-04,River Safari,na
1998-04,Singapore Zoological Gardens,103.6
1998-04,Chinese/japanese Gardens,7.3
1998-05,Asian Civilisations Museum,19.3
1998-05,National Museum Of Singapore,31.5
1998-05,Singapore Art Museum,16.6
1998-05,Singapore Philatelic Museum,na
1998-05,The Peranakan Museum,na
1998-05,Science Centre Singapore,65.3
1998-05,Jurong Birdpark,na
1998-05,Night Safari,na
1998-05,River Safari,na
1998-05,Singapore Zoological Gardens,127.7
1998-05,Chinese/japanese Gardens,7.7
1998-06,Asian Civilisations Museum,4.2
1998-06,National Museum Of Singapore,18.5
1998-06,Singapore Art Museum,12.5
1998-06,Singapore Philatelic Museum,na
1998-06,The Peranakan Museum,na
1998-06,Science Centre Singapore,46.9
1998-06,Jurong Birdpark,na
1998-06,Night Safari,na
1998-06,River Safari,na
1998-06,Singapore Zoological Gardens,145.9
1998-06,Chinese/japanese Gardens,6.4
1998-07,Asian Civilisations Museum,5.8
1998-07,National Museum Of Singapore,19.4
1998-07,Singapore Art Museum,15.1
1998-07,Singapore Philatelic Museum,na
1998-07,The Peranakan Museum,na
1998-07,Science Centre Singapore,32.2
1998-07,Jurong Birdpark,na
1998-07,Night Safari,na
1998-07,River Safari,na
1998-07,Singapore Zoological Gardens,98.9
1998-07,Chinese/japanese Gardens,6.3
1998-08,Asian Civilisations Museum,9.9
1998-08,National Museum Of Singapore,22.3
1998-08,Singapore Art Museum,23.4
1998-08,Singapore Philatelic Museum,na
1998-08,The Peranakan Museum,na
1998-08,Science Centre Singapore,27.8
1998-08,Jurong Birdpark,na
1998-08,Night Safari,na
1998-08,River Safari,na
1998-08,Singapore Zoological Gardens,109.2
1998-08,Chinese/japanese Gardens,7.8
1998-09,Asian Civilisations Museum,5.4
1998-09,National Museum Of Singapore,17.7
1998-09,Singapore Art Museum,12.8
1998-09,Singapore Philatelic Museum,na
1998-09,The Peranakan Museum,na
1998-09,Science Centre Singapore,35.6
1998-09,Jurong Birdpark,na
1998-09,Night Safari,na
1998-09,River Safari,na
1998-09,Singapore Zoological Gardens,105.8
1998-09,Chinese/japanese Gardens,51
1998-10,Asian Civilisations Museum,8
1998-10,National Museum Of Singapore,22.5
1998-10,Singapore Art Museum,39.9
1998-10,Singapore Philatelic Museum,na
1998-10,The Peranakan Museum,na
1998-10,Science Centre Singapore,41.4
1998-10,Jurong Birdpark,na
1998-10,Night Safari,na
1998-10,River Safari,na
1998-10,Singapore Zoological Gardens,100.5
1998-10,Chinese/japanese Gardens,84.6
1998-11,Asian Civilisations Museum,6.1
1998-11,National Museum Of Singapore,23.9
1998-11,Singapore Art Museum,7.8
1998-11,Singapore Philatelic Museum,na
1998-11,The Peranakan Museum,na
1998-11,Science Centre Singapore,42.4
1998-11,Jurong Birdpark,na
1998-11,Night Safari,na
1998-11,River Safari,na
1998-11,Singapore Zoological Gardens,120.5
1998-11,Chinese/japanese Gardens,6.9
1998-12,Asian Civilisations Museum,3.2
1998-12,National Museum Of Singapore,13.8
1998-12,Singapore Art Museum,5
1998-12,Singapore Philatelic Museum,na
1998-12,The Peranakan Museum,na
1998-12,Science Centre Singapore,36.3
1998-12,Jurong Birdpark,na
1998-12,Night Safari,na
1998-12,River Safari,na
1998-12,Singapore Zoological Gardens,126.4
1998-12,Chinese/japanese Gardens,7.8
1999-01,Asian Civilisations Museum,4.4
1999-01,National Museum Of Singapore,17.9
1999-01,Singapore Art Museum,7.4
1999-01,Singapore Philatelic Museum,2.5
1999-01,The Peranakan Museum,na
1999-01,Science Centre Singapore,15.8
1999-01,Jurong Birdpark,na
1999-01,Night Safari,na
1999-01,River Safari,na
1999-01,Singapore Zoological Gardens,100.7
1999-01,Chinese/japanese Gardens,7.9
1999-02,Asian Civilisations Museum,17.7
1999-02,National Museum Of Singapore,17.4
1999-02,Singapore Art Museum,5.3
1999-02,Singapore Philatelic Museum,2.8
1999-02,The Peranakan Museum,na
1999-02,Science Centre Singapore,25.2
1999-02,Jurong Birdpark,na
1999-02,Night Safari,na
1999-02,River Safari,na
1999-02,Singapore Zoological Gardens,106.6
1999-02,Chinese/japanese Gardens,13.2
1999-03,Asian Civilisations Museum,30.1
1999-03,National Museum Of Singapore,21.1
1999-03,Singapore Art Museum,7.6
1999-03,Singapore Philatelic Museum,4.8
1999-03,The Peranakan Museum,na
1999-03,Science Centre Singapore,95.8
1999-03,Jurong Birdpark,na
1999-03,Night Safari,na
1999-03,River Safari,na
1999-03,Singapore Zoological Gardens,112.6
1999-03,Chinese/japanese Gardens,8.1
1999-04,Asian Civilisations Museum,25.9
1999-04,National Museum Of Singapore,21.3
1999-04,Singapore Art Museum,29.6
1999-04,Singapore Philatelic Museum,2.9
1999-04,The Peranakan Museum,na
1999-04,Science Centre Singapore,31.6
1999-04,Jurong Birdpark,na
1999-04,Night Safari,na
1999-04,River Safari,na
1999-04,Singapore Zoological Gardens,91.4
1999-04,Chinese/japanese Gardens,6.4
1999-05,Asian Civilisations Museum,33.9
1999-05,National Museum Of Singapore,36.6
1999-05,Singapore Art Museum,37.1
1999-05,Singapore Philatelic Museum,3.5
1999-05,The Peranakan Museum,na
1999-05,Science Centre Singapore,52.1
1999-05,Jurong Birdpark,na
1999-05,Night Safari,na
1999-05,River Safari,na
1999-05,Singapore Zoological Gardens,136.6
1999-05,Chinese/japanese Gardens,6.8
1999-06,Asian Civilisations Museum,2.2
1999-06,National Museum Of Singapore,29
1999-06,Singapore Art Museum,6
1999-06,Singapore Philatelic Museum,2.9
1999-06,The Peranakan Museum,na
1999-06,Science Centre Singapore,36.5
1999-06,Jurong Birdpark,na
1999-06,Night Safari,na
1999-06,River Safari,na
1999-06,Singapore Zoological Gardens,135
1999-06,Chinese/japanese Gardens,6.9
1999-07,Asian Civilisations Museum,3.8
1999-07,National Museum Of Singapore,31.6
1999-07,Singapore Art Museum,10
1999-07,Singapore Philatelic Museum,4.8
1999-07,The Peranakan Museum,na
1999-07,Science Centre Singapore,32.6
1999-07,Jurong Birdpark,na
1999-07,Night Safari,na
1999-07,River Safari,na
1999-07,Singapore Zoological Gardens,110.4
1999-07,Chinese/japanese Gardens,6.8
1999-08,Asian Civilisations Museum,6.2
1999-08,National Museum Of Singapore,29.5
1999-08,Singapore Art Museum,26
1999-08,Singapore Philatelic Museum,4.6
1999-08,The Peranakan Museum,na
1999-08,Science Centre Singapore,30.6
1999-08,Jurong Birdpark,na
1999-08,Night Safari,na
1999-08,River Safari,na
1999-08,Singapore Zoological Gardens,117
1999-08,Chinese/japanese Gardens,8.4
1999-09,Asian Civilisations Museum,4.5
1999-09,National Museum Of Singapore,23.4
1999-09,Singapore Art Museum,8.3
1999-09,Singapore Philatelic Museum,4
1999-09,The Peranakan Museum,na
1999-09,Science Centre Singapore,32.7
1999-09,Jurong Birdpark,na
1999-09,Night Safari,na
1999-09,River Safari,na
1999-09,Singapore Zoological Gardens,105.8
1999-09,Chinese/japanese Gardens,122.7
1999-10,Asian Civilisations Museum,4.5
1999-10,National Museum Of Singapore,33.9
1999-10,Singapore Art Museum,10.1
1999-10,Singapore Philatelic Museum,4.3
1999-10,The Peranakan Museum,na
1999-10,Science Centre Singapore,55.8
1999-10,Jurong Birdpark,na
1999-10,Night Safari,na
1999-10,River Safari,na
1999-10,Singapore Zoological Gardens,89.1
1999-10,Chinese/japanese Gardens,6.8
1999-11,Asian Civilisations Museum,5
1999-11,National Museum Of Singapore,46.1
1999-11,Singapore Art Museum,11.3
1999-11,Singapore Philatelic Museum,4.1
1999-11,The Peranakan Museum,na
1999-11,Science Centre Singapore,60.8
1999-11,Jurong Birdpark,na
1999-11,Night Safari,na
1999-11,River Safari,na
1999-11,Singapore Zoological Gardens,125.8
1999-11,Chinese/japanese Gardens,7.5
1999-12,Asian Civilisations Museum,3.3
1999-12,National Museum Of Singapore,27.3
1999-12,Singapore Art Museum,22.1
1999-12,Singapore Philatelic Museum,2.2
1999-12,The Peranakan Museum,na
1999-12,Science Centre Singapore,40.7
1999-12,Jurong Birdpark,na
1999-12,Night Safari,na
1999-12,River Safari,na
1999-12,Singapore Zoological Gardens,155.3
1999-12,Chinese/japanese Gardens,8.4
2000-01,Asian Civilisations Museum,3.3
2000-01,National Museum Of Singapore,17.3
2000-01,Singapore Art Museum,13.3
2000-01,Singapore Philatelic Museum,3.1
2000-01,The Peranakan Museum,na
2000-01,Science Centre Singapore,17.9
2000-01,Jurong Birdpark,na
2000-01,Night Safari,na
2000-01,River Safari,na
2000-01,Singapore Zoological Gardens,78
2000-01,Chinese/japanese Gardens,8.1
2000-02,Asian Civilisations Museum,4.4
2000-02,National Museum Of Singapore,18.9
2000-02,Singapore Art Museum,10.5
2000-02,Singapore Philatelic Museum,2.5
2000-02,The Peranakan Museum,na
2000-02,Science Centre Singapore,26
2000-02,Jurong Birdpark,na
2000-02,Night Safari,na
2000-02,River Safari,na
2000-02,Singapore Zoological Gardens,113.8
2000-02,Chinese/japanese Gardens,36.5
2000-03,Asian Civilisations Museum,4.5
2000-03,National Museum Of Singapore,26.5
2000-03,Singapore Art Museum,16.9
2000-03,Singapore Philatelic Museum,2.7
2000-03,The Peranakan Museum,na
2000-03,Science Centre Singapore,68.6
2000-03,Jurong Birdpark,na
2000-03,Night Safari,na
2000-03,River Safari,na
2000-03,Singapore Zoological Gardens,126.6
2000-03,Chinese/japanese Gardens,7.7
2000-04,Asian Civilisations Museum,4
2000-04,National Museum Of Singapore,17.6
2000-04,Singapore Art Museum,8.6
2000-04,Singapore Philatelic Museum,2.7
2000-04,The Peranakan Museum,na
2000-04,Science Centre Singapore,38.2
2000-04,Jurong Birdpark,na
2000-04,Night Safari,na
2000-04,River Safari,na
2000-04,Singapore Zoological Gardens,103.1
2000-04,Chinese/japanese Gardens,6.2
2000-05,Asian Civilisations Museum,6.2
2000-05,National Museum Of Singapore,22.8
2000-05,Singapore Art Museum,9.4
2000-05,Singapore Philatelic Museum,2.6
2000-05,The Peranakan Museum,na
2000-05,Science Centre Singapore,68.6
2000-05,Jurong Birdpark,na
2000-05,Night Safari,na
2000-05,River Safari,na
2000-05,Singapore Zoological Gardens,136.4
2000-05,Chinese/japanese Gardens,5.9
2000-06,Asian Civilisations Museum,4
2000-06,National Museum Of Singapore,15
2000-06,Singapore Art Museum,10.4
2000-06,Singapore Philatelic Museum,2.8
2000-06,The Peranakan Museum,na
2000-06,Science Centre Singapore,43.3
2000-06,Jurong Birdpark,na
2000-06,Night Safari,na
2000-06,River Safari,na
2000-06,Singapore Zoological Gardens,127.4
2000-06,Chinese/japanese Gardens,6.5
2000-07,Asian Civilisations Museum,4.3
2000-07,National Museum Of Singapore,21.6
2000-07,Singapore Art Museum,10.3
2000-07,Singapore Philatelic Museum,3.1
2000-07,The Peranakan Museum,na
2000-07,Science Centre Singapore,31.5
2000-07,Jurong Birdpark,na
2000-07,Night Safari,na
2000-07,River Safari,na
2000-07,Singapore Zoological Gardens,122.6
2000-07,Chinese/japanese Gardens,7
2000-08,Asian Civilisations Museum,4.4
2000-08,National Museum Of Singapore,24.7
2000-08,Singapore Art Museum,11.1
2000-08,Singapore Philatelic Museum,2.7
2000-08,The Peranakan Museum,na
2000-08,Science Centre Singapore,29.5
2000-08,Jurong Birdpark,na
2000-08,Night Safari,na
2000-08,River Safari,na
2000-08,Singapore Zoological Gardens,103.7
2000-08,Chinese/japanese Gardens,10.2
2000-09,Asian Civilisations Museum,9
2000-09,National Museum Of Singapore,31.1
2000-09,Singapore Art Museum,6.3
2000-09,Singapore Philatelic Museum,3.5
2000-09,The Peranakan Museum,na
2000-09,Science Centre Singapore,36.1
2000-09,Jurong Birdpark,na
2000-09,Night Safari,na
2000-09,River Safari,na
2000-09,Singapore Zoological Gardens,100.1
2000-09,Chinese/japanese Gardens,94.8
2000-10,Asian Civilisations Museum,11.6
2000-10,National Museum Of Singapore,36.3
2000-10,Singapore Art Museum,16.6
2000-10,Singapore Philatelic Museum,4.1
2000-10,The Peranakan Museum,na
2000-10,Science Centre Singapore,28.6
2000-10,Jurong Birdpark,na
2000-10,Night Safari,na
2000-10,River Safari,na
2000-10,Singapore Zoological Gardens,75.9
2000-10,Chinese/japanese Gardens,8.9
2000-11,Asian Civilisations Museum,7.1
2000-11,National Museum Of Singapore,40.6
2000-11,Singapore Art Museum,11.3
2000-11,Singapore Philatelic Museum,5.5
2000-11,The Peranakan Museum,na
2000-11,Science Centre Singapore,51.1
2000-11,Jurong Birdpark,na
2000-11,Night Safari,na
2000-11,River Safari,na
2000-11,Singapore Zoological Gardens,102.2
2000-11,Chinese/japanese Gardens,5.4
2000-12,Asian Civilisations Museum,8.5
2000-12,National Museum Of Singapore,36.4
2000-12,Singapore Art Museum,9.2
2000-12,Singapore Philatelic Museum,2.5
2000-12,The Peranakan Museum,na
2000-12,Science Centre Singapore,50.1
2000-12,Jurong Birdpark,na
2000-12,Night Safari,na
2000-12,River Safari,na
2000-12,Singapore Zoological Gardens,133.7
2000-12,Chinese/japanese Gardens,8.6
2001-01,Asian Civilisations Museum,6.4
2001-01,National Museum Of Singapore,21.8
2001-01,Singapore Art Museum,9.2
2001-01,Singapore Philatelic Museum,2.7
2001-01,The Peranakan Museum,na
2001-01,Science Centre Singapore,22.2
2001-01,Jurong Birdpark,71.5
2001-01,Night Safari,62.8
2001-01,River Safari,na
2001-01,Singapore Zoological Gardens,95.4
2001-01,Chinese/japanese Gardens,11.3
2001-02,Asian Civilisations Museum,5.6
2001-02,National Museum Of Singapore,19.3
2001-02,Singapore Art Museum,16
2001-02,Singapore Philatelic Museum,3.5
2001-02,The Peranakan Museum,na
2001-02,Science Centre Singapore,40.4
2001-02,Jurong Birdpark,58.5
2001-02,Night Safari,58
2001-02,River Safari,na
2001-02,Singapore Zoological Gardens,79.9
2001-02,Chinese/japanese Gardens,6.6
2001-03,Asian Civilisations Museum,6.5
2001-03,National Museum Of Singapore,28.3
2001-03,Singapore Art Museum,12.8
2001-03,Singapore Philatelic Museum,4.7
2001-03,The Peranakan Museum,na
2001-03,Science Centre Singapore,52.2
2001-03,Jurong Birdpark,76.1
2001-03,Night Safari,76.9
2001-03,River Safari,na
2001-03,Singapore Zoological Gardens,139.1
2001-03,Chinese/japanese Gardens,6.7
2001-04,Asian Civilisations Museum,4.9
2001-04,National Museum Of Singapore,21
2001-04,Singapore Art Museum,9.6
2001-04,Singapore Philatelic Museum,2.9
2001-04,The Peranakan Museum,na
2001-04,Science Centre Singapore,36.7
2001-04,Jurong Birdpark,75.5
2001-04,Night Safari,69.7
2001-04,River Safari,na
2001-04,Singapore Zoological Gardens,104.9
2001-04,Chinese/japanese Gardens,6.1
2001-05,Asian Civilisations Museum,6.9
2001-05,National Museum Of Singapore,27.2
2001-05,Singapore Art Museum,9.9
2001-05,Singapore Philatelic Museum,3.9
2001-05,The Peranakan Museum,na
2001-05,Science Centre Singapore,51.8
2001-05,Jurong Birdpark,82.7
2001-05,Night Safari,68.5
2001-05,River Safari,na
2001-05,Singapore Zoological Gardens,122.7
2001-05,Chinese/japanese Gardens,5.5
2001-06,Asian Civilisations Museum,4.5
2001-06,National Museum Of Singapore,18.9
2001-06,Singapore Art Museum,7.5
2001-06,Singapore Philatelic Museum,3.3
2001-06,The Peranakan Museum,na
2001-06,Science Centre Singapore,36.4
2001-06,Jurong Birdpark,81.5
2001-06,Night Safari,75.8
2001-06,River Safari,na
2001-06,Singapore Zoological Gardens,145.5
2001-06,Chinese/japanese Gardens,5.6
2001-07,Asian Civilisations Museum,4.7
2001-07,National Museum Of Singapore,19.2
2001-07,Singapore Art Museum,8.6
2001-07,Singapore Philatelic Museum,7.2
2001-07,The Peranakan Museum,na
2001-07,Science Centre Singapore,38.9
2001-07,Jurong Birdpark,91.5
2001-07,Night Safari,81.7
2001-07,River Safari,na
2001-07,Singapore Zoological Gardens,122.1
2001-07,Chinese/japanese Gardens,6.7
2001-08,Asian Civilisations Museum,6.9
2001-08,National Museum Of Singapore,24.6
2001-08,Singapore Art Museum,14.6
2001-08,Singapore Philatelic Museum,3.4
2001-08,The Peranakan Museum,na
2001-08,Science Centre Singapore,49.9
2001-08,Jurong Birdpark,83.4
2001-08,Night Safari,91.2
2001-08,River Safari,na
2001-08,Singapore Zoological Gardens,115.9
2001-08,Chinese/japanese Gardens,6.7
2001-09,Asian Civilisations Museum,4.9
2001-09,National Museum Of Singapore,20.1
2001-09,Singapore Art Museum,9.3
2001-09,Singapore Philatelic Museum,3.6
2001-09,The Peranakan Museum,na
2001-09,Science Centre Singapore,58.9
2001-09,Jurong Birdpark,82
2001-09,Night Safari,68.8
2001-09,River Safari,na
2001-09,Singapore Zoological Gardens,127.2
2001-09,Chinese/japanese Gardens,71
2001-10,Asian Civilisations Museum,5
2001-10,National Museum Of Singapore,20.9
2001-10,Singapore Art Museum,12.3
2001-10,Singapore Philatelic Museum,3.1
2001-10,The Peranakan Museum,na
2001-10,Science Centre Singapore,32.6
2001-10,Jurong Birdpark,55.9
2001-10,Night Safari,54.8
2001-10,River Safari,na
2001-10,Singapore Zoological Gardens,87.5
2001-10,Chinese/japanese Gardens,34.5
2001-11,Asian Civilisations Museum,8
2001-11,National Museum Of Singapore,28.3
2001-11,Singapore Art Museum,18.7
2001-11,Singapore Philatelic Museum,4.7
2001-11,The Peranakan Museum,na
2001-11,Science Centre Singapore,45.9
2001-11,Jurong Birdpark,79.9
2001-11,Night Safari,55.1
2001-11,River Safari,na
2001-11,Singapore Zoological Gardens,125.6
2001-11,Chinese/japanese Gardens,37.7
2001-12,Asian Civilisations Museum,6
